CMPD_CHEMBLID,exp,smiles,description
CHEMBL1917430,0.79,Cc1c(Sc2ccc(Cl)cc2)c3ccc(cc3n1CC(=O)O)S(=O)(=O)C,"Cc1c(Sc2ccc(Cl)cc2)c3ccc(cc3n1CC(=O)O)S(=O)(=O)C：This molecule, defined by the chemical formula C18H16ClNO4S2, possesses a molecular weight of 409.92 g/mol. The structural framework incorporates aromatic benzene rings, halogen substituents. Topological analysis indicates the presence of 3 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.2. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 4.24 and a TPSA of 76.37 Å². It contains 26 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 5 rotatable bonds and a FractionCSP3 of 0.17, while its interaction profile is defined by 1 hydrogen bond donor(s) and 5 acceptor(s)."
CHEMBL1783285,2.75,COc1cc(c(OC)nn1)c2c(F)ccc3c(N)c(nnc23)C(=O)NC4CC4,"COc1cc(c(OC)nn1)c2c(F)ccc3c(N)c(nnc23)C(=O)NC4CC4：This molecule, defined by the chemical formula C18H17FN6O3, possesses a molecular weight of 384.37 g/mol. The structural framework incorporates aromatic benzene rings, amide groups, primary amine groups, halogen substituents, ether groups. Topological analysis indicates the presence of 4 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.91. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 1.72 and a TPSA of 125.14 Å². It contains 28 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 5 rotatable bonds and a FractionCSP3 of 0.28, while its interaction profile is defined by 2 hydrogen bond donor(s) and 8 acceptor(s)."
CHEMBL481400,2.3,CN1CCN(CC1)c2ccc3ncc(C(=O)N)c(Nc4ccc(F)cc4F)c3c2,"CN1CCN(CC1)c2ccc3ncc(C(=O)N)c(Nc4ccc(F)cc4F)c3c2：This molecule, defined by the chemical formula C21H21F2N5O, possesses a molecular weight of 397.43 g/mol. The structural framework incorporates aromatic benzene rings, amide groups, primary amine groups, halogen substituents. Topological analysis indicates the presence of 4 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.81. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.11 and a TPSA of 74.49 Å². It contains 29 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 4 rotatable bonds and a FractionCSP3 of 0.24, while its interaction profile is defined by 2 hydrogen bond donor(s) and 5 acceptor(s)."
CHEMBL519422,2.53,CCn1c(C)ncc1c2ccnc(Nc3ccc(cc3)C(=O)NC)n2,"CCn1c(C)ncc1c2ccnc(Nc3ccc(cc3)C(=O)NC)n2：This molecule, defined by the chemical formula C18H20N6O, possesses a molecular weight of 336.4 g/mol. The structural framework incorporates aromatic benzene rings, amide groups. Topological analysis indicates the presence of 3 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.83. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 2.77 and a TPSA of 84.73 Å². It contains 25 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 5 rotatable bonds and a FractionCSP3 of 0.22, while its interaction profile is defined by 2 hydrogen bond donor(s) and 6 acceptor(s)."
CHEMBL445102,2.25,OC1(CCN(Cc2c[nH]c3ccccc23)CC1)c4ccc(Cl)cc4,"OC1(CCN(Cc2c[nH]c3ccccc23)CC1)c4ccc(Cl)cc4：This molecule, defined by the chemical formula C20H21ClN2O, possesses a molecular weight of 340.85 g/mol. The structural framework incorporates aromatic benzene rings, halogen substituents. Topological analysis indicates the presence of 4 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.45. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 4.3 and a TPSA of 39.26 Å². It contains 24 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 3 rotatable bonds and a FractionCSP3 of 0.3, while its interaction profile is defined by 2 hydrogen bond donor(s) and 2 acceptor(s).
4-(4-chlorophenyl)-1-(1H-indol-3-ylmethyl)-4-piperidinol is a member of piperidines."
CHEMBL2088094,3.63,CCCc1cc(Nc2nc(NCc3onc(C)c3)ncc2Br)n[nH]1,"CCCc1cc(Nc2nc(NCc3onc(C)c3)ncc2Br)n[nH]1：This molecule, defined by the chemical formula C15H18BrN7O, possesses a molecular weight of 392.26 g/mol. The structural framework incorporates halogen substituents. Topological analysis indicates the presence of 3 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.68. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.57 and a TPSA of 104.55 Å². It contains 24 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 7 rotatable bonds and a FractionCSP3 of 0.33, while its interaction profile is defined by 3 hydrogen bond donor(s) and 7 acceptor(s)."
CHEMBL256322,0.95,CCNCc1cnc(s1)c2ccc(cc2)C(=O)Nc3ccccc3N,"CCNCc1cnc(s1)c2ccc(cc2)C(=O)Nc3ccccc3N：This molecule, defined by the chemical formula C19H20N4OS, possesses a molecular weight of 352.46 g/mol. The structural framework incorporates aromatic benzene rings, amide groups, primary amine groups. Topological analysis indicates the presence of 3 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.7. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.75 and a TPSA of 80.04 Å². It contains 25 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 6 rotatable bonds and a FractionCSP3 of 0.16, while its interaction profile is defined by 3 hydrogen bond donor(s) and 5 acceptor(s)."
CHEMBL2164677,2.77,Fc1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]4CCCC[C@H]4C(=O)NCC#N,"Fc1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]4CCCC[C@H]4C(=O)NCC#N：This molecule, defined by the chemical formula C21H23FN4O2, possesses a molecular weight of 382.44 g/mol. The structural framework incorporates aromatic benzene rings, amide groups, halogen substituents. Topological analysis indicates the presence of 4 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.55. It contains 2 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 2.64 and a TPSA of 88.99 Å². It contains 28 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 3 rotatable bonds and a FractionCSP3 of 0.48, while its interaction profile is defined by 2 hydrogen bond donor(s) and 3 acceptor(s)."
CHEMBL1209430,3.23,Clc1cc(Cl)cc(CS(=O)(=O)NCC(N2CCCCCC2)c3ccccc3)c1,"Clc1cc(Cl)cc(CS(=O)(=O)NCC(N2CCCCCC2)c3ccccc3)c1：This molecule, defined by the chemical formula C21H26Cl2N2O2S, possesses a molecular weight of 441.42 g/mol. The structural framework incorporates aromatic benzene rings, halogen substituents. Topological analysis indicates the presence of 3 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.73. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 5.03 and a TPSA of 49.41 Å². It contains 28 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 7 rotatable bonds and a FractionCSP3 of 0.43, while its interaction profile is defined by 1 hydrogen bond donor(s) and 3 acceptor(s)."
CHEMBL2171990,0.67,CS(=O)(=O)c1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,"CS(=O)(=O)c1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N：This molecule, defined by the chemical formula C21H28N4O4S, possesses a molecular weight of 432.55 g/mol. The structural framework incorporates aromatic benzene rings, amide groups. Topological analysis indicates the presence of 3 ring system(s), including 1 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.6. It contains 2 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 1.18 and a TPSA of 110.58 Å². It contains 30 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 5 rotatable bonds and a FractionCSP3 of 0.57, while its interaction profile is defined by 1 hydrogen bond donor(s) and 6 acceptor(s)."
CHEMBL2346967,2.9,FC(F)(F)c1nnc2ccc(nn12)N3CCN(Cc4ccc(cc4)C#N)CC3,"FC(F)(F)c1nnc2ccc(nn12)N3CCN(Cc4ccc(cc4)C#N)CC3：This molecule, defined by the chemical formula C18H16F3N7, possesses a molecular weight of 387.37 g/mol. The structural framework incorporates aromatic benzene rings, halogen substituents. Topological analysis indicates the presence of 4 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.44. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 2.34 and a TPSA of 73.35 Å². It contains 28 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 3 rotatable bonds and a FractionCSP3 of 0.33, while its interaction profile is defined by 0 hydrogen bond donor(s) and 7 acceptor(s).
Error: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1017)>"
CHEMBL1502,2.0,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,"COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC：This molecule, defined by the chemical formula C16H15F2N3O4S, possesses a molecular weight of 383.38 g/mol. The structural framework incorporates aromatic benzene rings, halogen substituents, ether groups. Topological analysis indicates the presence of 3 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.85. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 2.88 and a TPSA of 92.32 Å². It contains 26 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 7 rotatable bonds and a FractionCSP3 of 0.25, while its interaction profile is defined by 1 hydrogen bond donor(s) and 6 acceptor(s).
Pantoprazole is a member of the class of benzimidazoles that is 1H-benzimidazole substituted by a difluoromethoxy group at position 5 and a [(3,4-dimethoxypyridin-2-yl)methyl]sulfinyl group at position 2. It has a role as an anti-ulcer drug, an EC 3.6.3.10 (H(+)/K(+)-exchanging ATPase) inhibitor, a xenobiotic and an environmental contaminant. It is a member of benzimidazoles, a member of pyridines, an aromatic ether, an organofluorine compound and a sulfoxide. It is a conjugate acid of a pantoprazole(1-).Pantoprazole is a first-generation proton pump inhibitor (PPI) used for the management of gastroesophageal reflux disease (GERD), for gastric protection to prevent recurrence of stomach ulcers or gastric damage from chronic use of NSAIDs, and for the treatment of pathological hypersecretory conditions including Zollinger-Ellison (ZE) Syndrome. It can also be found in quadruple regimens for the treatment of H. pylori infections along with other antibiotics including [amoxicillin], [clarithromycin], and [metronidazole], for example. Its efficacy is considered similar to other medications within the PPI class including [omeprazole], [esomeprazole], [lansoprazole], [dexlansoprazole], and [rabeprazole].  Pantoprazole exerts its stomach acid-suppressing effects by preventing the final step in gastric acid production by covalently binding to sulfhydryl groups of cysteines found on the (H+, K+)-ATPase enzyme at the secretory surface of gastric parietal cell. This effect leads to inhibition of both basal and stimulated gastric acid secretion, irrespective of the stimulus. As the binding of pantoprazole to the (H+, K+)-ATPase enzyme is irreversible and new enzyme needs to be expressed in order to resume acid secretion, pantoprazole's duration of antisecretory effect persists longer than 24 hours.  Due to their good safety profile and as several PPIs are available over the counter without a prescription, their current use in North America is widespread. Long term use of PPIs such as pantoprazole have been associated with possible adverse effects, however, including increased susceptibility to bacterial infections (including gastrointestinal C. difficile), reduced absorption of micronutrients including iron and B12, and an increased risk of developing hypomagnesemia and hypocalcemia which may contribute to osteoporosis and bone fractures later in life.  PPIs such as pantoprazole have also been shown to inhibit the activity of dimethylarginine dimethylaminohydrolase (DDAH), an enzyme necessary for cardiovascular health. DDAH inhibition causes a consequent accumulation of the nitric oxide synthase inhibitor asymmetric dimethylarginie (ADMA), which is thought to cause the association of PPIs with increased risk of cardiovascular events in patients with unstable coronary syndromes.  Pantoprazole doses should be slowly lowered, or tapered, before discontinuing as rapid discontinuation of PPIs such as pantoprazole may cause a rebound effect and a short term increase in hypersecretion.Pantoprazole is a Proton Pump Inhibitor. The mechanism of action of pantoprazole is as a Proton Pump Inhibitor.Pantoprazole is a proton pump inhibitor (PPI) and a potent inhibitor of gastric acidity which is widely used in the therapy of gastroesophageal reflux and peptic ulcer disease. Pantoprazole therapy is associated with a low rate of transient and asymptomatic serum aminotransferase elevations and is a rare cause of clinically apparent liver injury.Pantoprazole is a substituted benzimidazole and proton pump inhibitor with antacid activity. Pantoprazole is a lipophilic weak base that crosses the parietal cell membrane and enters the acidic parietal cell canaliculus where it becomes protonated, producing the active metabolite sulphenamide, which forms an irreversible covalent bond with two sites of the H+/K+-ATPase enzyme located on the gastric parietal cell, thereby inhibiting both basal and stimulated gastric acid production.PANTOPRAZOLE is a small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2000 and has 3 approved and 26 investigational indications.2-pyridinylmethylsulfinylbenzimidazole proton pump inhibitor that is used in the treatment of GASTROESOPHAGEAL REFLUX and PEPTIC ULCER.See also: Lansoprazole (related); Omeprazole (related); Rabeprazole (related) ... View More ..."
CHEMBL586702,3.04,FC(F)c1nc2ccccc2n1c3nc(nc(n3)N4CCOCC4)N5CCOCC5,"FC(F)c1nc2ccccc2n1c3nc(nc(n3)N4CCOCC4)N5CCOCC5：This molecule, defined by the chemical formula C19H21F2N7O2, possesses a molecular weight of 417.42 g/mol. The structural framework incorporates aromatic benzene rings, halogen substituents, ether groups. Topological analysis indicates the presence of 5 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.67. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 1.82 and a TPSA of 81.43 Å². It contains 30 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 4 rotatable bonds and a FractionCSP3 of 0.47, while its interaction profile is defined by 0 hydrogen bond donor(s) and 9 acceptor(s).
ZSTK-474 is a triamino-1,3,5-triazine that is 1,3,5-triazine in which two of the hydrogens have been replaced by morpholin-4-yl groups while the third hydrogen has been replaced by a 2-(difluoromethyl)benzimidazol-1-yl group. It is an inhibitor of phosphatidylinositol 3-kinase. It has a role as an EC 2.7.1.137 (phosphatidylinositol 3-kinase) inhibitor and an antineoplastic agent. It is a member of morpholines, a member of benzimidazoles, a triamino-1,3,5-triazine and an organofluorine compound.ZSTK474 has been used in trials studying the treatment of Neoplasms.PI3K Inhibitor ZSTK474 is an orally available, s-triazine derivative, ATP-competitive phosphatidylinositol 3-kinase (PI3K) inhibitor with potential antineoplastic activity. PI3K inhibitor ZSTK474 inhibits all four PI3K isoforms. Inhibiting the activation of the PI3K/AKT kinase (or protein kinase B) signaling pathway results in inhibition of tumor cell growth and survival in susceptible tumor cell populations. Dysregulated PI3K signaling may contribute to tumor resistance to a variety of antineoplastic agents. This agent does not induce apoptosis but rather induces strong G(0)/G(1) arrest, which might contribute to its favorable efficacy in tumor cells.ZSTK-474 is a small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication.phosphatidylinositol 3-kinase inhibitor; structure in first source"
CHEMBL1950842,1.46,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccccc2)C1)C(C)(C)C,"CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccccc2)C1)C(C)(C)C：This molecule, defined by the chemical formula C23H38N4O2, possesses a molecular weight of 402.58 g/mol. The structural framework incorporates aromatic benzene rings, amide groups. Topological analysis indicates the presence of 2 ring system(s), including 1 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.91. It contains 3 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 1.95 and a TPSA of 73.47 Å². It contains 29 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 8 rotatable bonds and a FractionCSP3 of 0.65, while its interaction profile is defined by 3 hydrogen bond donor(s) and 4 acceptor(s)."
CHEMBL1345229,2.26,CC1CCN(CC1)C(=O)c2scc3OCCOc23,"CC1CCN(CC1)C(=O)c2scc3OCCOc23：This molecule, defined by the chemical formula C13H17NO3S, possesses a molecular weight of 267.35 g/mol. The structural framework incorporates amide groups, ether groups. Topological analysis indicates the presence of 3 ring system(s), including 1 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.78. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 2.39 and a TPSA of 38.77 Å². It contains 18 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 1 rotatable bonds and a FractionCSP3 of 0.62, while its interaction profile is defined by 0 hydrogen bond donor(s) and 4 acceptor(s)."
CHEMBL448483,3.1,C[C@H](NC1=NC(=O)C(C)(S1)C(F)(F)F)c2ccccc2F,"C[C@H](NC1=NC(=O)C(C)(S1)C(F)(F)F)c2ccccc2F：This molecule, defined by the chemical formula C13H12F4N2OS, possesses a molecular weight of 320.31 g/mol. The structural framework incorporates aromatic benzene rings, amide groups, halogen substituents. Topological analysis indicates the presence of 2 ring system(s), including 1 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.14. It contains 2 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.43 and a TPSA of 41.46 Å². It contains 21 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 2 rotatable bonds and a FractionCSP3 of 0.38, while its interaction profile is defined by 1 hydrogen bond donor(s) and 3 acceptor(s)."
CHEMBL1538897,3.4,COc1ccc(Cl)cc1NC(=O)CCS(=O)(=O)c2ccc(Br)cc2,"COc1ccc(Cl)cc1NC(=O)CCS(=O)(=O)c2ccc(Br)cc2：This molecule, defined by the chemical formula C16H15BrClNO4S, possesses a molecular weight of 432.72 g/mol. The structural framework incorporates aromatic benzene rings, amide groups, halogen substituents, ether groups. Topological analysis indicates the presence of 2 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.03. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.91 and a TPSA of 72.47 Å². It contains 24 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 6 rotatable bonds and a FractionCSP3 of 0.19, while its interaction profile is defined by 1 hydrogen bond donor(s) and 4 acceptor(s)."
CHEMBL2335881,1.86,COCCNCc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1,"COCCNCc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1：This molecule, defined by the chemical formula C23H23N5O, possesses a molecular weight of 385.47 g/mol. The structural framework incorporates aromatic benzene rings, ether groups. Topological analysis indicates the presence of 4 ring system(s), including 4 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.44. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 4.17 and a TPSA of 71.96 Å². It contains 29 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 8 rotatable bonds and a FractionCSP3 of 0.17, while its interaction profile is defined by 2 hydrogen bond donor(s) and 6 acceptor(s)."
CHEMBL1302214,0.98,Nc1ccc(cc1)S(=O)(=O)N2CCCC2,"Nc1ccc(cc1)S(=O)(=O)N2CCCC2：This molecule, defined by the chemical formula C10H14N2O2S, possesses a molecular weight of 226.3 g/mol. The structural framework incorporates aromatic benzene rings, primary amine groups. Topological analysis indicates the presence of 2 ring system(s), including 1 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 2.32. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 1.05 and a TPSA of 63.4 Å². It contains 15 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 2 rotatable bonds and a FractionCSP3 of 0.4, while its interaction profile is defined by 1 hydrogen bond donor(s) and 3 acceptor(s)."
CHEMBL480818,3.89,CC[C@H](NC(=O)c1c(N)c(nc2ccccc12)c3ccccc3)c4ccccc4,"CC[C@H](NC(=O)c1c(N)c(nc2ccccc12)c3ccccc3)c4ccccc4：This molecule, defined by the chemical formula C25H23N3O, possesses a molecular weight of 381.48 g/mol. The structural framework incorporates aromatic benzene rings, amide groups, primary amine groups. Topological analysis indicates the presence of 4 ring system(s), including 4 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.82. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 5.37 and a TPSA of 68.01 Å². It contains 29 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 5 rotatable bonds and a FractionCSP3 of 0.12, while its interaction profile is defined by 2 hydrogen bond donor(s) and 3 acceptor(s)."
CHEMBL2171991,1.99,O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4ccccc4,"O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4ccccc4：This molecule, defined by the chemical formula C22H28N4O2, possesses a molecular weight of 380.49 g/mol. The structural framework incorporates aromatic benzene rings, amide groups. Topological analysis indicates the presence of 4 ring system(s), including 1 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.37. It contains 2 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 2.31 and a TPSA of 76.44 Å². It contains 28 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 4 rotatable bonds and a FractionCSP3 of 0.59, while its interaction profile is defined by 1 hydrogen bond donor(s) and 4 acceptor(s)."
CHEMBL219445,4.04,COc1cc2ncnc(N3CC[C@H](C3)Oc4cnc5ccccc5n4)c2cc1OC,"COc1cc2ncnc(N3CC[C@H](C3)Oc4cnc5ccccc5n4)c2cc1OC：This molecule, defined by the chemical formula C22H21N5O3, possesses a molecular weight of 403.44 g/mol. The structural framework incorporates aromatic benzene rings, ether groups. Topological analysis indicates the presence of 5 ring system(s), including 4 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.39. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.25 and a TPSA of 82.49 Å². It contains 30 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 5 rotatable bonds and a FractionCSP3 of 0.27, while its interaction profile is defined by 0 hydrogen bond donor(s) and 8 acceptor(s)."
CHEMBL2070940,2.1,CCc1csc(n1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N,"CCc1csc(n1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N：This molecule, defined by the chemical formula C21H29N5O2S, possesses a molecular weight of 415.56 g/mol. The structural framework incorporates amide groups. Topological analysis indicates the presence of 4 ring system(s), including 1 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.36. It contains 2 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 2.33 and a TPSA of 89.33 Å². It contains 29 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 5 rotatable bonds and a FractionCSP3 of 0.71, while its interaction profile is defined by 1 hydrogen bond donor(s) and 6 acceptor(s)."
CHEMBL1562923,2.5,Cc1ccc(cc1)n2c(C)cc(C(=O)NS(=O)(=O)c3ccc(C)cc3)c2C,"Cc1ccc(cc1)n2c(C)cc(C(=O)NS(=O)(=O)c3ccc(C)cc3)c2C：This molecule, defined by the chemical formula C21H22N2O3S, possesses a molecular weight of 382.49 g/mol. The structural framework incorporates aromatic benzene rings, amide groups. Topological analysis indicates the presence of 3 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.93. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.83 and a TPSA of 68.17 Å². It contains 27 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 4 rotatable bonds and a FractionCSP3 of 0.19, while its interaction profile is defined by 1 hydrogen bond donor(s) and 4 acceptor(s)."
CHEMBL1683934,2.16,O[C@@H](CNCCCCCCCCCN1CCC(CC1)OC(=O)Nc2ccccc2c3ccccc3)c4ccc(O)c5NC(=O)C=Cc45,"O[C@@H](CNCCCCCCCCCN1CCC(CC1)OC(=O)Nc2ccccc2c3ccccc3)c4ccc(O)c5NC(=O)C=Cc45：This molecule, defined by the chemical formula C38H48N4O5, possesses a molecular weight of 640.83 g/mol. The structural framework incorporates aromatic benzene rings, amide groups, phenolic hydroxyls, ether groups. Topological analysis indicates the presence of 5 ring system(s), including 4 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 0.87. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 6.97 and a TPSA of 126.92 Å². It contains 47 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 16 rotatable bonds and a FractionCSP3 of 0.42, while its interaction profile is defined by 5 hydrogen bond donor(s) and 7 acceptor(s)."
CHEMBL2011924,2.63,CNc1c(Cl)cnc2[nH]c(nc12)c3ccc(OCCN4CCOCC4)cc3,"CNc1c(Cl)cnc2[nH]c(nc12)c3ccc(OCCN4CCOCC4)cc3：This molecule, defined by the chemical formula C19H22ClN5O2, possesses a molecular weight of 387.87 g/mol. The structural framework incorporates aromatic benzene rings, halogen substituents, ether groups. Topological analysis indicates the presence of 4 ring system(s), including 3 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.43. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 3.03 and a TPSA of 75.3 Å². It contains 27 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 6 rotatable bonds and a FractionCSP3 of 0.37, while its interaction profile is defined by 2 hydrogen bond donor(s) and 6 acceptor(s)."
CHEMBL2088121,-0.62,COc1c(N2CCO[C@@H](CN(C)C)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O,"COc1c(N2CCO[C@@H](CN(C)C)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O：This molecule, defined by the chemical formula C21H26FN3O5, possesses a molecular weight of 419.45 g/mol. The structural framework incorporates aromatic benzene rings, halogen substituents, ether groups. Topological analysis indicates the presence of 4 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.9. It contains 1 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 1.95 and a TPSA of 84.24 Å². It contains 30 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 6 rotatable bonds and a FractionCSP3 of 0.52, while its interaction profile is defined by 1 hydrogen bond donor(s) and 7 acceptor(s)."
CHEMBL1870155,3.01,O=C(NC1CCCCC1)c2cccnc2Sc3ccccc3,"O=C(NC1CCCCC1)c2cccnc2Sc3ccccc3：This molecule, defined by the chemical formula C18H20N2OS, possesses a molecular weight of 312.44 g/mol. The structural framework incorporates aromatic benzene rings, amide groups. Topological analysis indicates the presence of 3 ring system(s), including 2 aromatic ring(s), with a connectivity complexity quantified by a Balaban J index of 1.74. It contains 0 stereogenic center(s). From a physicochemical perspective, the molecule exhibits a LogP of 4.3 and a TPSA of 41.99 Å². It contains 22 heavy atom(s), reflecting the size of its non-hydrogen atomic framework. The molecular flexibility is moderated by 4 rotatable bonds and a FractionCSP3 of 0.33, while its interaction profile is defined by 1 hydrogen bond donor(s) and 3 acceptor(s)."
